actual_squared_residual,atomic_pattern,case_grid_seconds,certificate,certificate_ratio_to_reference,coverage_slack,covered,degree,error,family,name,raw_certificate_excess,reference_atomic_pattern,reference_certificate,seconds,solver,status,success
1.4384636581471755e-16,False,1.3522912919870578,3.8453327300125295e-08,83499.70612343297,1.1374717322563314e-13,True,8,,three_point,three_point_k10_0,-3.845332715627893e-08,True,4.605205106145149e-13,0.7056737079983577,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
0.1489088016161662,False,1.5743149999761954,0.14890880161621547,1.0,2.3119878097674774e-13,True,2,,three_point,three_point_k10_1,-4.926614671774132e-14,False,0.14890880161621547,0.0009643749799579382,linear algebra,exact degree-two moment calculation,True
4.521465995544339e-17,False,1.5743149999761954,8.634210013624966e-08,187941.15514741422,8.495816507132751e-13,True,3,,three_point,three_point_k10_1,-8.6342100091035e-08,True,4.594102875898898e-13,0.08602495800005272,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
1.3119175184655631e-20,False,1.5743149999761954,2.8888811676175408e-08,62882.378685355245,1.4538381149130652e-13,True,4,,three_point,three_point_k10_1,-2.888881167616229e-08,True,4.594102875898898e-13,0.14232579100644216,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
3.529688600455348e-17,False,1.5743149999761954,2.5934911662695015e-08,56452.614064765585,1.691318689139763e-13,True,6,,three_point,three_point_k10_1,-2.593491162739813e-08,True,4.594102875898898e-13,0.4486088340054266,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
2.5500336963245777e-17,False,1.5743149999761954,3.737968179429174e-08,81364.4857419043,1.137471733146545e-13,True,8,,three_point,three_point_k10_1,-3.7379681768791404e-08,True,4.594102875898898e-13,0.8960007919813506,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
0.008114843650335732,False,1.6372993750264868,0.00811484365037414,1.0,1.5530202288539558e-13,True,2,,three_point,three_point_k10_2,-3.8408512481602486e-14,False,0.00811484365037414,8.829199941828847e-05,linear algebra,exact degree-two moment calculation,True
2.850137965274897e-18,False,1.6372993750264868,9.129134603824696e-08,199388.78370514064,8.495816530858199e-13,True,3,,three_point,three_point_k10_2,-9.129134603539682e-08,True,4.578559753554146e-13,0.06882916699396446,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
1.1843134686717239e-17,False,1.6372993750264868,5.857133655862157e-08,127925.24224054316,5.933291840402484e-13,True,4,,three_point,three_point_k10_2,-5.857133654677843e-08,True,4.578559753554146e-13,0.2544969579903409,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
1.4475812902716887e-17,False,1.6372993750264868,2.993455183730731e-08,65379.84311348206,1.1491345785278816e-13,True,6,,three_point,three_point_k10_2,-2.99345518228315e-08,True,4.578559753554146e-13,0.548503416008316,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
2.0896227082661715e-16,False,1.6372993750264868,4.2852474568810806e-08,93593.78685741998,1.137471737062847e-13,True,8,,three_point,three_point_k10_2,-4.285247435984853e-08,True,4.578559753554146e-13,0.7649639999726787,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
0.1428497195464909,False,2.000204332987778,0.14284971954653786,1.0,2.2016880279730594e-13,True,2,,three_point,three_point_k10_3,-4.696243394164412e-14,False,0.14284971954653786,9.187503019347787e-05,linear algebra,exact degree-two moment calculation,True
1.0803100911837472e-17,False,2.000204332987778,8.899290770969515e-08,194463.08879184863,8.495816680566238e-13,True,3,,three_point,three_point_k10_3,-8.899290769889205e-08,True,4.576339307504895e-13,0.1454320839839056,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
1.1252297045875232e-17,False,2.000204332987778,5.1363167941076426e-08,112236.3629306162,4.842801058752269e-13,True,4,,three_point,three_point_k10_3,-5.136316792982413e-08,True,4.576339307504895e-13,0.42106641602003947,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
7.581659131524247e-20,False,2.000204332987778,2.6807144615226264e-08,58577.70329936924,1.2495245664399108e-13,True,6,,three_point,three_point_k10_3,-2.6807144615150448e-08,True,4.576339307504895e-13,0.6576216670218855,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
2.848323051330214e-20,False,2.000204332987778,3.94855286245388e-08,86281.90781174187,1.1374717356933037e-13,True,8,,three_point,three_point_k10_3,-3.948552862451032e-08,True,4.576339307504895e-13,0.7756041669636033,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
0.00015140318104216508,False,2.1324898329912685,0.00015140318120493435,1.0,6.523448538442618e-13,True,2,,three_point,three_point_k100_0,-1.6276926638122968e-13,False,0.00015140318120493435,8.662499021738768e-05,linear algebra,exact degree-two moment calculation,True
1.3710802791620232e-09,False,2.1324898329912685,0.0003729739482878358,241477.51685558664,2.237569341483269e-09,True,3,,three_point,three_point_k100_0,-0.00037297257720755666,True,1.5445493772858754e-09,0.14475670899264514,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
1.4460248773140725e-06,False,2.1324898329912685,5.226481005138339e-05,33838.22545267187,3.0909804310748197e-10,True,4,,three_point,three_point_k100_0,-5.081878517406932e-05,True,1.5445493772858754e-09,0.26119687501341105,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
2.465605851690011e-05,False,2.1324898329912685,2.8710890354943785e-05,18588.522178161344,1.6794097959066746e-11,True,6,,three_point,three_point_k100_0,-4.054831838043677e-06,True,1.5445493772858754e-09,0.4972123749903403,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
3.9706873085346015e-06,False,2.1324898329912685,1.8440552707943425e-05,11939.115044899161,1.0590550872460504e-10,True,8,,three_point,three_point_k100_0,-1.4469865399408824e-05,True,1.5445493772858754e-09,1.2288549999939278,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
0.4205912318033536,False,2.7059064169880003,0.4205912318036066,1.0,1.1038568692154092e-12,True,2,,three_point,three_point_k100_1,-2.529643161608419e-13,False,0.4205912318036066,9.045901242643595e-05,linear algebra,exact degree-two moment calculation,True
