actual_squared_residual,certificate,certificate_passed,chebyshev_budget,converged,coverage_slack,covered,family,hessian_product_saving,name,raw_certificate_excess,reference_certificate_passed,reference_selected_degree,same_acceptance_decision_as_reference,selected_degree,tolerance
2.8535225370133842e-24,1.7053025658242404e-11,True,27,True,6.836813855237191e-11,True,two_point,0.9259259259259259,two_point_k100_2,-1.705302565823955e-11,True,2,True,2,0.01
2.8535225370133842e-24,1.7053025658242404e-11,True,50,True,6.836813855237191e-11,True,two_point,0.96,two_point_k100_2,-1.705302565823955e-11,True,2,True,2,0.0001
7.553258296146058e-13,1e-12,False,73,True,1.1368683772190148e-13,True,two_point,0.0,two_point_k100_2,-2.446741703853942e-13,False,73,True,73,1e-06
0.0,1.709565822238801e-11,True,27,True,6.836813852828769e-11,True,two_point,0.9259259259259259,two_point_k100_3,-1.709565822238801e-11,True,2,True,2,0.01
0.0,1.709565822238801e-11,True,50,True,6.836813852828769e-11,True,two_point,0.96,two_point_k100_3,-1.709565822238801e-11,True,2,True,2,0.0001
7.553258296146058e-13,1e-12,False,73,True,1.1368683772190148e-13,True,two_point,0.0,two_point_k100_3,-2.446741703853942e-13,False,73,True,73,1e-06
2.9335704294562477e-18,1.7680577002465725e-09,True,84,True,7.077138074381606e-09,True,two_point,0.9761904761904762,two_point_k1000_0,-1.768057697313002e-09,True,2,True,2,0.01
2.9335704294562477e-18,1.7680577002465725e-09,True,157,True,7.077138074381606e-09,True,two_point,0.9872611464968153,two_point_k1000_0,-1.768057697313002e-09,True,2,True,2,0.0001
9.181977848888572e-13,1e-12,False,230,True,1.136868377219385e-13,True,two_point,0.0,two_point_k1000_0,-8.18022151111428e-14,False,230,True,230,1e-06
5.650812391972594e-24,1.7671482055447996e-09,True,84,True,7.0771619392047584e-09,True,two_point,0.9761904761904762,two_point_k1000_1,-1.767148205544794e-09,True,2,True,2,0.01
5.650812391972594e-24,1.7671482055447996e-09,True,157,True,7.0771619392047584e-09,True,two_point,0.9872611464968153,two_point_k1000_1,-1.767148205544794e-09,True,2,True,2,0.0001
9.18197784888857e-13,1e-12,False,230,True,1.136868377219385e-13,True,two_point,0.0,two_point_k1000_1,-8.1802215111143e-14,False,230,True,230,1e-06
1.589729103469667e-16,1.7544152797199786e-09,True,84,True,7.077324889108613e-09,True,two_point,0.9761904761904762,two_point_k1000_2,-1.7544151207470682e-09,True,2,True,2,0.01
1.589729103469667e-16,1.7544152797199786e-09,True,157,True,7.077324889108613e-09,True,two_point,0.9872611464968153,two_point_k1000_2,-1.7544151207470682e-09,True,2,True,2,0.0001
9.181977848888572e-13,1e-12,False,230,True,1.136868377219385e-13,True,two_point,0.0,two_point_k1000_2,-8.18022151111428e-14,False,230,True,230,1e-06
1.8664358034923626e-13,2.0366337025734538e-05,True,84,True,1.1387799982755362e-10,True,two_point,0.9285714285714286,two_point_k1000_3,-2.0366336839090957e-05,True,2,True,6,0.01
9.429403240960663e-09,1e-08,False,157,True,1.1368684100248248e-13,True,two_point,0.0,two_point_k1000_3,-5.705967590393374e-10,True,2,False,157,0.0001
9.181977848888572e-13,1e-12,False,230,True,1.136868377219385e-13,True,two_point,0.0,two_point_k1000_3,-8.18022151111428e-14,False,230,True,230,1e-06
1.7158214291213567e-15,9.427416669538502e-08,True,9,True,8.495808179616058e-13,True,three_point,0.6666666666666667,three_point_k10_0,-9.427416497956359e-08,True,3,True,3,0.01
3.0584845053956943e-09,1e-08,False,16,True,1.1368683956622774e-13,True,three_point,0.0,three_point_k10_0,-6.9415154946043055e-09,True,3,False,16,0.0001
