method,converged,failure,converged_stages,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_linear_relative_residual,final_scaled_gradient,quadratic_objective,terminal_barrier_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index
cost_gated_certificate,True,,3,39,42,63073,13,0,0.049333259413978786,2.1423934283307746e-07,-104.24954791557779,-103.67502594957539,0.9983076465292181,0.0,"[-0.9983076465292181,-0.9980062538594925,-0.9976145893128037,-0.9970944099432769,-0.9963852813101084,-0.9953873009047095,-0.9939259261427965,-0.9916737183171231,-0.9879557622446569,-0.9811836785998982,-0.966769971652463,-0.9255795046121659,-0.6685719868439873,0.5142485295307659,0.7845172708485525,0.8258021198227016,0.8198697007438368,0.7799531161725334,0.6835483064692892,0.45652472719849124]",double_integrator,20,2
interval_chebyshev,True,,3,38,41,92410,0,0,0.04847451519702566,6.725531795927827e-06,-104.24954829294663,-103.67502594956572,0.9983077611250969,0.0,"[-0.9983077611250969,-0.9980062525168544,-0.9976145868119844,-0.9970944067024782,-0.996385273968907,-0.9953872938384783,-0.9939259128046282,-0.9916737033631717,-0.9879557760752595,-0.9811835811970869,-0.9667696977713393,-0.9255795769996285,-0.6685766377414788,0.5142452769841448,0.7845171527201822,0.8258003325468853,0.8198682980987916,0.7799536429218217,0.6835480941942839,0.45652483795558846]",double_integrator,20,2
cg,True,,3,45,48,456,0,4,0.049490225960626515,2.1933868899801406e-07,-104.2495486003273,-103.67502594902312,0.9983076457157358,0.0,"[-0.9983076457157358,-0.9980062492562556,-0.997614582475006,-0.997094400586859,-0.9963852659908033,-0.9953872862412122,-0.9939258920027898,-0.9916736683003826,-0.987955710549874,-0.9811834453636474,-0.9667692701228221,-0.9255774574267602,-0.6685693076882004,0.5141980492195685,0.7845176939992121,0.8258056213044217,0.8198752265330054,0.7799793918326065,0.6836085327875497,0.4564643932613591]",double_integrator,20,2
direct,True,,3,32,35,0,0,1,0.0,5.53009426263054e-08,-104.24954784836956,-103.6750259495867,0.9983076481044014,0.0,"[-0.9983076481044014,-0.998006252385183,-0.9976145866948527,-0.997094406444492,-0.9963852740823768,-0.9953872941431914,-0.9939259132850162,-0.9916737056057389,-0.9879557844770455,-0.981183608027759,-0.9667698737573571,-0.9255806672226335,-0.6685762510812644,0.5142458924686794,0.7845172920872261,0.8258003416519215,0.8198682905954692,0.7799536811628036,0.6835480879214979,0.45652483146498635]",double_integrator,20,2
certificate,True,,3,37,40,62551,11,0,0.048850581340591635,1.5810596417934306e-07,-107.09254943484046,-106.52988652972758,0.9981095926635604,0.0,"[-0.9981095926635604,-0.9977982957341887,-0.9973970769295569,-0.996869610527257,-0.996159511288433,-0.9951756114269106,-0.9937629839281859,-0.9916413777230753,-0.9882606411215753,-0.9824163574084847,-0.9710124698937059,-0.943740315884687,-0.8439240646170681,-0.13814813370205087,0.6030373175781323,0.7392468699410939,0.7547255302513014,0.7184646883564041,0.6200821800152182,0.40406464839344813]",double_integrator,20,3
cost_gated_certificate,True,,3,37,40,63208,10,0,0.04674549821442631,9.595537159930185e-07,-107.09254930570876,-106.5298865297261,0.9981095847098302,0.0,"[-0.9981095847098302,-0.9977983196078979,-0.9973970765423659,-0.9968696168672603,-0.996159512858689,-0.9951756164879125,-0.9937629697235631,-0.991641205942403,-0.9882606401067289,-0.982416359994227,-0.971012460694175,-0.9437403218155455,-0.8439240610275034,-0.1381481159023112,0.6030373139349993,0.7392468697144122,0.754725540361294,0.7184646923727182,0.6200821815800045,0.4040646481047651]",double_integrator,20,3
interval_chebyshev,True,,3,36,39,87696,0,0,0.047777922407091146,3.1513505943083966e-05,-107.09254480617889,-106.52988652887694,0.9981095946927401,0.0,"[-0.9981095946927401,-0.9977973871061075,-0.9973970634517408,-0.9968696085304963,-0.9961595101647628,-0.9951755929588391,-0.9937629642872272,-0.9916412634912831,-0.988260575414386,-0.982416276735975,-0.9710123048795722,-0.9437396363184829,-0.8439254799409379,-0.1381506571302046,0.6030382267455477,0.7392457530178327,0.7547248780614156,0.718464148017662,0.6200817842291574,0.40406466135354063]",double_integrator,20,3
cg,True,,3,50,53,471,0,1,0.04953053275912305,7.837278750413791e-08,-107.0925494338429,-106.52988652964387,0.9981095913773966,0.0,"[-0.9981095913773966,-0.997798294110245,-0.9973970755072455,-0.9968696071819892,-0.9961595070331134,-0.9951756071241535,-0.993762979790756,-0.9916413029330163,-0.988260615423818,-0.9824163723765544,-0.9710124926423022,-0.9437397308943651,-0.8439232383234061,-0.13817213894808492,0.6030605873228359,0.7392345887532088,0.7547374924473572,0.7184639204541684,0.620085432969849,0.4040366371898575]",double_integrator,20,3
direct,True,,3,33,36,0,0,1,0.0,4.192651958994028e-08,-107.09254950284,-106.52988652973004,0.9981095919258454,0.0,"[-0.9981095919258454,-0.9977982948233661,-0.9973970755330812,-0.9968696083031576,-0.9961595088415418,-0.9951756131229729,-0.9937629846148847,-0.9916413115920097,-0.9882606333793779,-0.9824164003871766,-0.9710126588054977,-0.9437404363339476,-0.8439247121130912,-0.1381511646397823,0.6030362364247216,0.7392466740539575,0.7547263222359473,0.7184653922300929,0.6200820412742257,0.4040647340279]",double_integrator,20,3
certificate,True,,3,36,39,4304,15,0,0.048923481875605454,7.993507240035162e-08,-81.87745913258478,-81.47068524893949,0.9960792326263812,0.0,"[-0.9960792326263812,-0.9953862467848386,-0.9944577138660755,-0.9931817503588483,-0.9913716340365927,-0.9886975657822777,-0.9845336258288697,-0.9775730368068164,-0.9647027348810921,-0.9368980168299067,-0.8582642543408661,-0.529199422431652,0.13606252570905997,0.44846870638366554,0.5314881971858636,0.5275602267120479,0.47772666490141885,0.39601817501194314,0.289340591287643,0.1592440596868553]",double_integrator,20,4
