system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,preconditioned_weyl_lower,preconditioned_weyl_upper,preconditioned_exact_lower,preconditioned_exact_upper,interval_chebyshev_degree,raw_gradient_norm,preconditioned_gradient_norm
1111,damped_oscillator,40,7,1,5,0.03,0.16964480940820365,184.9346194861002,0.22470099417167338,171.4465266715069,61,1.3691593992201743,1.8009372958320733
1112,damped_oscillator,40,7,1,6,0.03,0.1689650234816346,67.63549637965222,0.2247128617504088,54.286203371461,37,0.6079478214272991,0.7996701524695913
1113,damped_oscillator,40,7,1,7,0.03,0.168082033524748,34.583365480416944,0.22472971825198831,22.036120378136545,27,0.23535698021122423,0.30957912113947283
1114,damped_oscillator,40,7,1,8,0.03,0.16728081920847215,24.875506920056498,0.2247468820194919,16.459472752655575,23,0.06649773952654771,0.08746845642706516
1115,damped_oscillator,40,7,1,9,0.03,0.16688685851045865,22.31673082251801,0.2247561903987591,16.092650380183976,22,0.008925773009627925,0.011740603430472034
1116,damped_oscillator,40,7,1,10,0.03,0.16681995107538164,21.96393708104246,0.22475783972641186,16.05735802788746,22,0.0002429256096737958,0.00031953459349480084
1117,damped_oscillator,40,7,2,0,0.01,0.09424823136701088,17.008735561447484,0.12744837485768462,14.958409913242818,25,0.4417128711478846,0.6089250814853671
1118,damped_oscillator,40,7,2,1,0.01,0.09354836446114129,98736.28865869177,0.1267152242346255,98722.75275508579,1895,23.554586690720168,30.98281249988274
1119,damped_oscillator,40,7,2,2,0.01,0.09492328053609464,25168.666091962317,0.12622652905249987,25155.130412442322,950,11.723631711726552,15.420798646064533
1120,damped_oscillator,40,7,2,3,0.01,0.09521315426511753,6513.706798581249,0.1262471535712629,6500.171983808006,483,5.793577361950148,7.620639540969403
1121,damped_oscillator,40,7,2,4,0.01,0.09544783107370208,1740.603937416119,0.12625079742886502,1727.0723698197064,250,2.8224571245052523,3.712546780847628
1122,damped_oscillator,40,7,2,5,0.01,0.0955459275570467,498.2530576043443,0.1262522746007271,484.7331368024838,134,1.335602961764601,1.7567985054540742
1123,damped_oscillator,40,7,2,6,0.01,0.09566441717935487,164.75490743027922,0.12625413648216002,151.27403587086383,77,0.5948081040800964,0.7823866958888175
1124,damped_oscillator,40,7,2,7,0.01,0.09583945952621972,70.77607687140458,0.12625679550541433,57.41530768266257,51,0.23240103981299232,0.3056909958240483
1125,damped_oscillator,40,7,2,8,0.01,0.096029410581497,43.0591015220707,0.12625956743437683,30.01270917306345,40,0.06750541854145255,0.08879391690386866
1126,damped_oscillator,40,7,2,9,0.01,0.09614136003827899,35.57648952521395,0.12626115209607044,22.969053075890713,36,0.009755610516101115,0.012832138341531789
