repeat,system,method,products,accepted_degree_two,total_ns
1,198,certificate,426,False,1265583
4,227,certificate,2,True,42875
0,4,direct,0,False,8875
3,56,cg,1,False,8125
4,138,interval_chebyshev,67,False,201959
1,192,cost_gated_certificate,54,False,184708
3,76,cg,2,False,12291
3,32,certificate,2,True,38625
4,146,certificate,18,False,83583
0,226,certificate,2,True,35042
0,195,interval_chebyshev,54,False,159333
2,110,interval_chebyshev,21,False,61958
3,20,cost_gated_certificate,2,True,35333
2,137,certificate,133,False,410875
1,18,interval_chebyshev,434,False,1267792
4,110,certificate,21,False,86292
1,185,certificate,38,False,135375
2,199,direct,0,False,8083
1,106,cost_gated_certificate,191,False,574292
4,12,certificate,23,False,91500
4,145,direct,0,False,7583
4,0,cg,6,False,29292
1,59,interval_chebyshev,60,False,176208
2,48,interval_chebyshev,24,False,72208
0,25,direct,0,False,7708
0,63,certificate,153,False,464625
0,167,certificate,12,False,64167
3,210,cg,1,False,7583
4,119,interval_chebyshev,520,False,1523917
1,226,certificate,2,True,35334
3,185,cost_gated_certificate,38,False,136125
3,226,direct,0,False,7417
4,100,interval_chebyshev,181,False,524709
3,125,certificate,2,True,36167
4,162,direct,0,False,8167
1,152,interval_chebyshev,100,False,297208
4,31,cost_gated_certificate,2,True,34959
1,49,cg,8,False,33125
4,213,certificate,2,True,38250
1,72,certificate,269,False,805833
3,144,cg,6,False,25917
3,118,direct,0,False,10500
3,18,certificate,2,True,35416
0,180,certificate,27,False,107833
2,148,cost_gated_certificate,2,True,35250
0,172,cost_gated_certificate,19,False,58167
3,31,certificate,2,True,34333
3,9,direct,0,False,8167
1,58,interval_chebyshev,68,False,197791
2,226,direct,0,False,6958
2,27,direct,0,False,7000
0,116,cost_gated_certificate,4007,False,11684291
3,139,cost_gated_certificate,35,False,158000
4,148,interval_chebyshev,1280,False,3750375
3,215,direct,0,False,14875
3,35,certificate,2,True,42333
3,177,interval_chebyshev,33,False,99625
2,87,cost_gated_certificate,2,True,37917
3,52,cg,3,False,17042
1,101,cost_gated_certificate,322,False,955917
2,78,interval_chebyshev,24,False,72667
3,81,direct,0,False,7917
2,180,cost_gated_certificate,27,False,105417
1,194,direct,0,False,8625
0,102,cg,7,False,30625
0,12,direct,0,False,7709
1,30,interval_chebyshev,639,False,1879792
1,68,certificate,189,False,570958
1,33,cg,1,False,8542
1,162,cost_gated_certificate,30,False,112917
0,155,interval_chebyshev,40,False,121584
4,132,cg,4,False,18708
1,96,certificate,136,False,419292
2,154,cg,1,False,7917
4,115,direct,0,False,7833
0,210,interval_chebyshev,861,False,2561292
2,94,cg,11,False,53375
0,183,interval_chebyshev,26,False,76625
0,101,cg,6,False,25125
4,216,cg,2,False,10709
3,51,cg,3,False,14250
4,183,cg,11,False,46333
0,144,cost_gated_certificate,14,False,42250
4,106,certificate,191,False,581500
4,7,certificate,43,False,150917
0,43,direct,0,False,9834
4,93,cost_gated_certificate,62,False,198208
1,20,cg,1,False,7958
4,105,cg,4,False,17375
2,10,direct,0,False,8084
0,175,cg,5,False,21250
0,88,cg,2,False,10125
1,134,cost_gated_certificate,341,False,979125
0,6,direct,0,False,7792
1,109,cost_gated_certificate,27,False,101375
2,125,cost_gated_certificate,2,True,37125
1,218,cg,2,False,11291
3,51,certificate,4344,False,12320417
0,15,cg,2,False,12375
1,19,certificate,2,True,37375
2,88,direct,0,False,7875
3,49,direct,0,False,7291
0,165,direct,0,False,7417
1,71,direct,0,False,8084
1,192,interval_chebyshev,54,False,159792
0,94,interval_chebyshev,108,False,316916
1,212,direct,0,False,7625
3,135,direct,0,False,7166
2,76,interval_chebyshev,41,False,121334
1,133,certificate,171,False,520209
1,221,cost_gated_certificate,2,True,40791
0,24,cg,1,False,25416
2,163,certificate,2,True,49833
3,115,cg,6,False,27250
0,222,certificate,2,True,40583
0,8,certificate,26,False,106167
2,47,interval_chebyshev,24,False,74916
0,107,interval_chebyshev,97,False,319541
3,1,certificate,198,False,612708
2,156,cost_gated_certificate,2,True,39125
2,162,direct,0,False,8583
4,200,interval_chebyshev,102,False,297792
