method,converged,failure,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_preconditioned_relative_residual,maximum_original_relative_residual,final_scaled_gradient,quadratic_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index,relative_objective_gap_to_direct,relative_solution_distance_to_direct
certificate,True,,38,41,22444,10,0,0.04745912281461578,0.047494484630832834,2.0756127154841223e-06,-104.24954685799216,0.9983076438662816,0.0,"[-0.9983076438662816,-0.9980062513929634,-0.997614588633832,-0.9970943163369419,-0.996385279257617,-0.9953873100853964,-0.9939259467975484,-0.9916740011694865,-0.9879557125704589,-0.9811836490484339,-0.966769452977437,-0.9255806450010942,-0.668562719406139,0.5142532587498015,0.7845065650350542,0.82579893792487,0.8198667421272643,0.779952656773475,0.6835450667621318,0.45652306132345344]",double_integrator,20,2,9.500063829819897e-09,4.867719402463256e-06
cost_gated_certificate,True,,38,41,22444,10,0,0.04745912281461578,0.047494484630832834,2.0756127154841223e-06,-104.24954685799216,0.9983076438662816,0.0,"[-0.9983076438662816,-0.9980062513929634,-0.997614588633832,-0.9970943163369419,-0.996385279257617,-0.9953873100853964,-0.9939259467975484,-0.9916740011694865,-0.9879557125704589,-0.9811836490484339,-0.966769452977437,-0.9255806450010942,-0.668562719406139,0.5142532587498015,0.7845065650350542,0.82579893792487,0.8198667421272643,0.779952656773475,0.6835450667621318,0.45652306132345344]",double_integrator,20,2,9.500063829819897e-09,4.867719402463256e-06
interval_chebyshev,True,,37,40,24695,0,0,0.0483202618729929,0.04832110769738654,2.431384876632206e-05,-104.24954316401417,0.9983076539565148,0.0,"[-0.9983076539565148,-0.9980062654069249,-0.9976145954532665,-0.9970932039906405,-0.9963852487787472,-0.9953873021837245,-0.9939258659748925,-0.9916736543734079,-0.9879556773163813,-0.981183608843317,-0.966769855118293,-0.9255802574649513,-0.6685731759241508,0.5142485049557317,0.7845135878933311,0.825799785795422,0.819867095642315,0.7799527209397815,0.6835468086841318,0.4565246669804666]",double_integrator,20,2,4.493405912031721e-08,1.5166344101671229e-06
cg,True,,47,50,384,0,0,0.04809382440780115,0.08042581882548977,1.7695478710559714e-07,-104.24954694563104,0.9983076470380384,0.0,"[-0.9983076470380384,-0.9980062542665791,-0.997614589223417,-0.9970944099569291,-0.9963852791395647,-0.9953873017361614,-0.9939259253971816,-0.9916737256726954,-0.9879558203737645,-0.9811836743954879,-0.9667699690080888,-0.9255813625990817,-0.6685585873338614,0.5142507230060182,0.784500097966255,0.8257983684361677,0.8198648187256915,0.7799569235996322,0.6835502629958068,0.4565219685014305]",double_integrator,20,2,8.659399454290898e-09,6.55103157282338e-06
direct,True,,32,35,0,0,1,0.0,0.0,5.5300942477752617e-08,-104.24954784836952,0.9983076481044014,0.0,"[-0.9983076481044014,-0.998006252385183,-0.9976145866948527,-0.997094406444492,-0.9963852740823768,-0.9953872941431913,-0.9939259132850162,-0.9916737056057389,-0.9879557844770455,-0.981183608027759,-0.9667698737573572,-0.9255806672226332,-0.6685762510812668,0.5142458924686796,0.7845172920872276,0.8258003416519226,0.8198682905954698,0.7799536811628026,0.683548087921498,0.45652483146498585]",double_integrator,20,2,0.0,0.0
certificate,True,,38,41,22926,10,0,0.049701081114987965,0.04884888470531486,2.8560689495862555e-07,-107.09254991210418,0.998109598406152,0.0,"[-0.998109598406152,-0.9977982969293844,-0.9973970811797521,-0.9968696136836255,-0.9961595204618707,-0.9951756323450665,-0.9937630033065822,-0.9916413238531478,-0.9882605686581355,-0.9824164003569769,-0.9710127052378761,-0.9437410766624822,-0.8439234585282215,-0.13814062453077985,0.6030365749647021,0.7392480799543785,0.7547265325851685,0.7184688206327693,0.6200854801187843,0.40406610227996126]",double_integrator,20,3,3.821593212965845e-09,3.0639535971843194e-06
cost_gated_certificate,True,,38,41,22926,10,0,0.049701081114987965,0.04884888470531486,2.8560689495862555e-07,-107.09254991210418,0.998109598406152,0.0,"[-0.998109598406152,-0.9977982969293844,-0.9973970811797521,-0.9968696136836255,-0.9961595204618707,-0.9951756323450665,-0.9937630033065822,-0.9916413238531478,-0.9882605686581355,-0.9824164003569769,-0.9710127052378761,-0.9437410766624822,-0.8439234585282215,-0.13814062453077985,0.6030365749647021,0.7392480799543785,0.7547265325851685,0.7184688206327693,0.6200854801187843,0.40406610227996126]",double_integrator,20,3,3.821593212965845e-09,3.0639535971843194e-06
interval_chebyshev,True,,38,41,35442,0,0,0.048146016933386195,0.04857446587059393,5.91711985937215e-06,-107.09255002626298,0.998109717599809,0.0,"[-0.998109717599809,-0.9977982957376551,-0.9973970728629986,-0.9968696086842981,-0.9961595089831652,-0.9951756121131453,-0.9937629841409399,-0.9916413077390729,-0.9882606236601199,-0.9824163792148763,-0.9710125539847628,-0.9437399786293155,-0.8439247484531193,-0.13815141779679668,0.6030360301901929,0.7392466728611177,0.7547263944850746,0.7184654699847035,0.6200821255854445,0.4040647917534372]",double_integrator,20,3,4.8875759462034165e-09,1.563915682140584e-07
cg,True,,37,40,334,0,2,0.04867061453329378,0.07629317277003576,8.079141442578524e-09,-107.09254937548131,0.9981095919006314,0.0,"[-0.9981095919006314,-0.9977982948741191,-0.997397075596102,-0.9968696083868138,-0.9961595089193588,-0.9951756131442545,-0.9937629844147716,-0.9916413105950211,-0.9882606293196327,-0.9824163825442721,-0.9710125641126934,-0.943739992017194,-0.8439250726284518,-0.13815075275033628,0.6030357834201228,0.7392482391200967,0.754725957475743,0.718464085320526,0.6200815129257318,0.40406426838154785]",double_integrator,20,3,1.1892396224613403e-09,6.057383411324395e-07
direct,True,,33,36,0,0,1,0.0,0.0,4.19265194714299e-08,-107.09254950284001,0.9981095919258454,0.0,"[-0.9981095919258454,-0.9977982948233661,-0.9973970755330812,-0.9968696083031576,-0.9961595088415418,-0.9951756131229728,-0.9937629846148847,-0.9916413115920097,-0.9882606333793779,-0.9824164003871766,-0.9710126588054978,-0.943740436333948,-0.8439247121130938,-0.1381511646397698,0.6030362364247187,0.7392466740539522,0.7547263222359469,0.7184653922300916,0.6200820412742248,0.4040647340279002]",double_integrator,20,3,0.0,0.0
