system,method,products,accepted_degree_two,preconditioned_relative_residual,original_relative_residual,original_residual_norm,original_gradient_norm
259,certificate,2,True,0.03138482652312923,0.028203598124131077,0.5908723431092426,20.95024686242748
259,cost_gated_certificate,2,True,0.03138482652312923,0.028203598124131077,0.5908723431092426,20.95024686242748
259,interval_chebyshev,1593,False,0.029168260879242815,0.0291588421076923,0.6108849403786989,20.95024686242748
259,cg,2,False,0.032154107788311063,0.028964130859225307,0.606805691656424,20.95024686242748
259,direct,0,False,0.0,3.392048406387217e-16,7.106425148311592e-15,20.95024686242748
260,certificate,2,True,0.02020685529683635,0.01430054229395851,0.14096200320119623,9.857108933606515
260,cost_gated_certificate,2,True,0.02020685529683635,0.01430054229395851,0.14096200320119623,9.857108933606515
260,interval_chebyshev,861,False,0.036902725754300154,0.03688614615697554,0.36359076081023917,9.857108933606515
260,cg,2,False,0.02055760991220018,0.014564732825002721,0.14356615804492637,9.857108933606515
260,direct,0,False,0.0,1.85874134383305e-16,1.8321815905560537e-15,9.857108933606515
261,certificate,2,True,0.008812310224390885,0.00600706354090646,0.02617795047614073,4.357861423951327
261,cost_gated_certificate,2,True,0.008812310224390885,0.00600706354090646,0.02617795047614073,4.357861423951327
261,interval_chebyshev,504,False,0.044717776226953325,0.04472557338211065,0.1949078509060043,4.357861423951327
261,cg,2,False,0.008900717522566902,0.006317887114324147,0.027532476536392368,4.357861423951327
261,direct,0,False,0.0,2.1014220230736433e-16,9.157705969794386e-16,4.357861423951327
262,certificate,2,True,0.013568292522362321,0.01172439385341137,0.01981030894379597,1.6896659385109187
262,cost_gated_certificate,2,True,0.013568292522362321,0.01172439385341137,0.01981030894379597,1.6896659385109187
262,interval_chebyshev,340,False,0.016591664239565,0.016433069050236834,0.02776639703938315,1.6896659385109187
262,cg,2,False,0.013927041055418784,0.011857627337031041,0.02003542902293728,1.6896659385109187
262,direct,0,False,0.0,1.303969359360679e-17,2.2032726113736432e-17,1.6896659385109187
263,certificate,2,True,0.016998209513923786,0.012524456533229379,0.0060835404631698125,0.4857328896490806
263,cost_gated_certificate,2,True,0.016998209513923786,0.012524456533229379,0.0060835404631698125,0.4857328896490806
263,interval_chebyshev,273,False,0.03520991045948713,0.03517132961733619,0.017083871567829,0.4857328896490806
263,cg,2,False,0.01718676980560959,0.012671809021386588,0.006155114413039396,0.4857328896490806
263,direct,0,False,0.0,1.4918526621328043e-17,7.246419045084405e-18,0.4857328896490806
264,certificate,2,True,0.022467428244332312,0.01641356455428824,0.0011291900642738414,0.06879615092376916
264,cost_gated_certificate,2,True,0.022467428244332312,0.01641356455428824,0.0011291900642738414,0.06879615092376916
264,interval_chebyshev,252,False,0.024468978706370832,0.024348959560620997,0.001675114696769234,0.06879615092376916
264,cg,2,False,0.022714817414412,0.016601392492217037,0.0011421119034392916,0.06879615092376916
264,direct,0,False,0.0,4.0377307335071706e-16,2.7778033293190046e-17,0.06879615092376916
265,certificate,2,True,0.023643422348238265,0.017270899960481926,3.6042246429863215e-05,0.00208687714666477
