actual_squared_residual,actual_to_chebyshev_actual,atomic_pattern,certificate,certificate_to_actual,certificate_to_chebyshev_bound,chebyshev_interval_bound,coverage_slack,covered,degree,design_value,family,name,raw_certificate_excess,scaled_certificate_excess,solver,source
0.1489088016161662,0.7315674698608627,False,0.14890880161621547,1.0000000000003308,0.5883043814500722,0.2531152347517455,2.3119878097674774e-13,True,2,0.14890880161616615,three_point,three_point_k10_1,-4.926614671774132e-14,-0.21308999342300228,linear algebra,heldout_synthetic
1.6046475474502209e-31,2.1244290181396908e-30,True,4.594102875898898e-13,2.862998097743589e+18,6.0752634413500626e-12,0.07561981336694072,8.495816745776159e-13,True,3,nan,three_point,three_point_k10_1,-4.594102875898898e-13,-0.5407488194920088,analytic,heldout_synthetic
1.6046475474502209e-31,9.163691689260797e-30,True,4.594102875898898e-13,2.862998097743589e+18,2.1882284461071837e-11,0.020994621855280778,8.495816745776159e-13,True,4,nan,three_point,three_point_k10_1,-4.594102875898898e-13,-0.5407488194920088,analytic,heldout_synthetic
1.6046475474502209e-31,1.043943734584826e-28,True,4.594102875898898e-13,2.862998097743589e+18,2.975166445608126e-10,0.001544149868549576,8.495816745776159e-13,True,6,nan,three_point,three_point_k10_1,-4.594102875898898e-13,-0.5407488194920088,analytic,heldout_synthetic
1.6046475474502209e-31,1.8290381691717994e-27,True,4.594102875898898e-13,2.862998097743589e+18,4.082052176502326e-09,0.00011254395282706354,8.495816745776159e-13,True,8,nan,three_point,three_point_k10_1,-4.594102875898898e-13,-0.5407488194920088,analytic,heldout_synthetic
0.008114843650335732,0.034669238643152876,False,0.00811484365037414,1.000000000004733,0.032059878412032956,0.2531152347517455,1.5530202288539558e-13,True,2,0.008114843650335782,three_point,three_point_k10_2,-3.8408512481602486e-14,-0.24731495294137845,linear algebra,heldout_synthetic
1.628635691297401e-30,2.1546649308586579e-29,True,4.578559753554146e-13,2.811285407792323e+17,6.0547091426118074e-12,0.07561981336694072,8.495816745776103e-13,True,3,nan,three_point,three_point_k10_2,-4.578559753554146e-13,-0.5389193164777814,analytic,heldout_synthetic
1.628635691297401e-30,8.285811596163334e-29,True,4.578559753554146e-13,2.811285407792323e+17,2.1808250632542353e-11,0.020994621855280778,8.495816745776103e-13,True,4,nan,three_point,three_point_k10_2,-4.578559753554146e-13,-0.5389193164777814,analytic,heldout_synthetic
1.628635691297401e-30,1.0565670267583562e-27,True,4.578559753554146e-13,2.811285407792323e+17,2.9651006335640197e-10,0.001544149868549576,8.495816745776103e-13,True,6,nan,three_point,three_point_k10_2,-4.578559753554146e-13,-0.5389193164777814,analytic,heldout_synthetic
1.628635691297401e-30,1.5810805049375715e-26,True,4.578559753554146e-13,2.811285407792323e+17,4.0682414634837095e-09,0.00011254395282706354,8.495816745776103e-13,True,8,nan,three_point,three_point_k10_2,-4.578559753554146e-13,-0.5389193164777814,analytic,heldout_synthetic
