actual_relative_residual,bb1_converged,bb1_final_residual,bb1_products,bb1_reductions,bb2_converged,bb2_final_residual,bb2_products,bb2_reductions,certificate_passed,certified_squared_residual,cg_converged,cg_final_residual,cg_products,cg_reductions,chebyshev_budget,collective_reductions,condition,converged,coverage_slack,covered,design_seconds,dimension,family,hessian_product_saving,hessian_products,minres_converged,minres_final_residual,minres_products,minres_reductions,name,point_residual_relative_discrepancy,raw_certificate_excess,scaled_certificate_excess,selected_degree,source,spectral_recurrence_squared_discrepancy,tolerance
5.5563908153958407e-14,True,1.5412714447883524e-14,19,19,True,1.7046615374360137e-07,7,7,True,3.537934389896691e-09,True,5.173685159795981e-14,2,4,157,1,1000.0,True,7.077161939158864e-09,True,0.0020454581826925278,384,two_point,0.9872611464968153,2,True,8.412553162771032e-14,2,4,two_point_k1000_1,4.5715932810398506e-14,-3.537934389896691e-09,-0.4999086385632688,2,heldout_synthetic,2.279554322395209e-27,0.0001
9.582263745529255e-07,True,1.5412714447883524e-14,19,19,True,1.7046615374360137e-07,7,7,False,1e-12,True,5.173685159795981e-14,2,4,230,1,1000.0,True,1.136868377219385e-13,True,0.0020454581826925278,384,two_point,0.0,230,True,8.412553162771032e-14,2,4,two_point_k1000_1,2.2035107264825583e-14,-8.180221511115654e-14,-0.7195398935383609,230,heldout_synthetic,1.3530542246350794e-26,1e-06
5.958334213706635e-14,True,0.0010984858771417203,1,1,True,0.0010984858771417203,1,1,True,3.5261109587736428e-09,True,0.0010984858771417203,1,2,84,1,1000.0,True,7.077161939158863e-09,True,0.001981792040169239,384,two_point,0.9761904761904762,2,True,0.0010984852143866722,1,2,two_point_k1000_2,4.716951016256455e-14,-3.5261109587736428e-09,-0.4982379927274533,2,heldout_synthetic,2.7423810932763904e-27,0.01
5.958334213706635e-14,True,1.3239105727836683e-06,3,3,True,6.591200236934813e-10,4,4,True,3.5261109587736428e-09,True,1.1259394644422656e-13,2,4,157,1,1000.0,True,7.077161939158863e-09,True,0.001981792040169239,384,two_point,0.9872611464968153,2,True,3.6632976012129465e-13,2,4,two_point_k1000_2,4.716951016256455e-14,-3.5261109587736428e-09,-0.4982379927274533,2,heldout_synthetic,2.7423810932763904e-27,0.0001
9.582263745529246e-07,True,1.1255773046340283e-19,6,6,True,6.591200236934813e-10,4,4,False,1e-12,True,1.1259394644422656e-13,2,4,230,1,1000.0,True,1.136868377219385e-13,True,0.001981792040169239,384,two_point,0.0,230,True,3.6632976012129465e-13,2,4,two_point_k1000_2,3.297024062730001e-14,-8.180221511115835e-14,-0.7195398935383769,230,heldout_synthetic,1.5550026163716585e-26,1e-06
5.304921878895939e-14,True,4.967814268005946e-06,16,16,True,1.59264471014056e-07,7,7,True,3.5397533793002367e-09,True,4.837296366448447e-14,2,4,84,1,1000.0,True,7.077161939158864e-09,True,0.002115333918482065,384,two_point,0.9761904761904762,2,True,6.019297643644455e-14,2,4,two_point_k1000_3,3.982870173172099e-14,-3.5397533793002367e-09,-0.5001656609995481,2,heldout_synthetic,2.0064260471725655e-27,0.01
5.304921878895939e-14,True,4.967814268005946e-06,16,16,True,1.59264471014056e-07,7,7,True,3.5397533793002367e-09,True,4.837296366448447e-14,2,4,157,1,1000.0,True,7.077161939158864e-09,True,0.002115333918482065,384,two_point,0.9872611464968153,2,True,6.019297643644455e-14,2,4,two_point_k1000_3,3.982870173172099e-14,-3.5397533793002367e-09,-0.5001656609995481,2,heldout_synthetic,2.0064260471725655e-27,0.0001
9.582263745529215e-07,True,1.1117864364287513e-19,19,19,True,1.59264471014056e-07,7,7,False,1e-12,True,4.837296366448447e-14,2,4,230,1,1000.0,True,1.136868377219385e-13,True,0.002115333918482065,384,two_point,0.0,230,True,6.019297643644455e-14,2,4,two_point_k1000_3,2.152807559883322e-14,-8.180221511116421e-14,-0.7195398935384284,230,heldout_synthetic,2.1406529524077376e-26,1e-06
8.571856189316173e-16,True,0.006440433049104091,7,7,True,0.008468689117028399,8,8,True,4.605205106145149e-13,True,1.4618226008993792e-15,3,6,9,1,10.0,True,8.495816745776131e-13,True,0.0025087909307330847,384,three_point,0.6666666666666667,3,True,5.236997840695623e-15,3,6,three_point_k10_0,4.1869258646994426e-16,-4.605205106145149e-13,-0.5420556073593185,3,heldout_synthetic,6.615135047643724e-31,0.01
8.571856189316173e-16,True,5.833937097519289e-05,12,12,True,3.659274020539231e-05,15,15,True,4.605205106145149e-13,True,1.4618226008993792e-15,3,6,16,1,10.0,True,8.495816745776131e-13,True,0.0025087909307330847,384,three_point,0.8125,3,True,5.236997840695623e-15,3,6,three_point_k10_0,4.1869258646994426e-16,-4.605205106145149e-13,-0.5420556073593185,3,heldout_synthetic,6.615135047643724e-31,0.0001
